MSOA11CD,MSOA11NM,MSOACode,MSOAName,nEPCs,sumEPC_tCO2,n_epcIsSocialRent,n_epcIsPrivateRent,n_epcIsOwnerOcc,n_epcIsUnknownTenure,sumEpcMWh,date,geography,geography code,Rural Urban,Tenure: All households; measures: Value,Tenure: Owned; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,Tenure: Social rented; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other; measures: Value,Tenure: Private rented; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Other; measures: Value,Tenure: Living rent free; measures: Value,census2011_socialRent,census2011_privateRent,census2011_ownerOccupy,census2011_other,hhCheck,nHHs_tenure,i.date,i.geography,i.geography code,i.Rural Urban,Household Deprivation: All categories: Classification of household deprivation; measures: Value,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value,totalHouseholds,LAName,nHHs_deprivation,nGasMeters,beisGasMWh,nElecMeters,beisElecMWh,i.LAName,beisEnergyMWh,dep0_pc,socRent_pc,privRent_pc,ownerOcc_pc
E02003560,Southampton 012,E02003560,Southampton 012,1952,5936.8,1046,168,670,43,33862.758635,2011,Southampton 012,E02003560,Total,3040,1098,457,641,9,1627,1519,108,266,246,20,40,1627,266,1098,40,3031,3040,2011,Southampton 012,E02003560,Total,3040,820,1047,845,299,29,3040,Southampton,3040,2739,23190.35064,3191,11062.59208,Southampton,34252.94272,26.9736842105263,53.5197368421053,8.75,36.1184210526316
E02003561,Southampton 013,E02003561,Southampton 013,2663,8648.9,366,1207,888,58,49231.805891,2011,Southampton 013,E02003561,Total,3181,1081,481,600,24,626,302,324,1423,1370,53,27,626,1423,1081,27,3157,3181,2011,Southampton 013,E02003561,Total,3181,1266,1048,636,195,36,3181,Southampton,3181,2473,26452.24976,3489,11978.59833,Southampton,38430.84809,39.7988054071047,19.6793461175731,44.7343602640679,33.9830242062245
E02003562,Southampton 014,E02003562,Southampton 014,2489,8267.1,208,787,1353,74,47128.063564,2011,Southampton 014,E02003562,Total,3636,2152,832,1320,56,332,94,238,1063,1007,56,33,332,1063,2152,33,3580,3636,2011,Southampton 014,E02003562,Total,3636,1661,1221,577,155,22,3636,Southampton,3636,2983,36532.47894,3921,14757.18363,Southampton,51289.66257,45.6820682068207,9.13091309130913,29.2354235423542,59.1859185918592
E02003563,Southampton 015,E02003563,Southampton 015,2545,8097.5,638,607,1082,157,46490.2394013,2011,Southampton 015,E02003563,Total,3483,1804,793,1011,43,759,555,204,842,794,48,35,759,842,1804,35,3440,3483,2011,Southampton 015,E02003563,Total,3483,1317,1164,768,209,25,3483,Southampton,3483,2648,27516.54456,3818,12404.30615,Southampton,39920.85071,37.8122308354867,21.7915590008613,24.1745621590583,51.7944300890037
E02003564,Southampton 016,E02003564,Southampton 016,2124,7466.6,487,299,1149,81,42655.744136,2011,Southampton 016,E02003564,Total,3474,2202,1059,1143,36,783,644,139,420,386,34,33,783,420,2202,33,3438,3474,2011,Southampton 016,E02003564,Total,3474,1368,1180,700,190,36,3474,Southampton,3474,2777,30545.17042,3563,13173.31465,Southampton,43718.48507,39.3782383419689,22.5388601036269,12.0898100172712,63.3851468048359
E02003565,Southampton 017,E02003565,Southampton 017,2397,7486.80000000001,180,1290,553,272,42543.368023,2011,Southampton 017,E02003565,Total,2563,742,308,434,30,298,79,219,1467,1411,56,26,298,1467,742,26,2533,2563,2011,Southampton 017,E02003565,Total,2563,1251,807,367,116,22,2563,Southampton,2563,2241,25810.92458,2840,9380.707441,Southampton,35191.632021,48.8099882949668,11.6269996098322,57.2376121732345,28.950448692938
E02003566,Southampton 018,E02003566,Southampton 018,1600,4797.7,457,168,753,8,27067.979261,2011,Southampton 018,E02003566,Total,2607,1549,747,802,32,778,587,191,218,198,20,30,778,218,1549,30,2575,2607,2011,Southampton 018,E02003566,Total,2607,918,882,645,154,8,2607,Southampton,2607,2607,26826.21743,2831,9221.544436,Southampton,36047.761866,35.2128883774453,29.8427311085539,8.36210203298811,59.4169543536632
E02003567,Southampton 019,E02003567,Southampton 019,1780,5939.5,464,277,978,41,33255.3013728,2011,Southampton 019,E02003567,Total,2991,1699,688,1011,23,816,716,100,422,386,36,31,816,422,1699,31,2968,2991,2011,Southampton 019,E02003567,Total,2991,1172,981,604,218,16,2991,Southampton,2991,3036,32188.32713,3200,11259.88083,Southampton,43448.20796,39.1842193246406,27.2818455366098,14.1089936476095,56.8037445670344
E02003568,Southampton 020,E02003568,Southampton 020,2954,9359.60000000001,120,1451,1203,46,53468.7626998,2011,Southampton 020,E02003568,Total,3820,1640,601,1039,29,173,22,151,1945,1880,65,33,173,1945,1640,33,3791,3820,2011,Southampton 020,E02003568,Total,3820,1913,1238,515,122,32,3820,Southampton,3820,2757,33366.33693,3900,13657.7525,Southampton,47024.08943,50.0785340314136,4.52879581151833,50.9162303664922,42.9319371727749
E02003569,Southampton 021,E02003569,Southampton 021,2671,8147.8,334,1073,1062,71,46831.104898,2011,Southampton 021,E02003569,Total,3527,1563,613,950,48,529,165,364,1350,1280,70,37,529,1350,1563,37,3479,3527,2011,Southampton 021,E02003569,Total,3527,1436,1154,704,209,24,3527,Southampton,3527,2722,27661.45348,3999,13719.21685,Southampton,41380.67033,40.7144882336263,14.9985823646158,38.2761553728381,44.3152821094415
